Company1,Company2,Weight
TRA_Co_1,TRA_Co_4,0.0167
TRA_Co_1,TRA_Co_5,0.0014
TRA_Co_1,TRA_Co_6,0.0133
TRA_Co_1,TRA_Co_7,0.0064
TRA_Co_1,TRA_Co_8,0.0307
TRA_Co_1,TRA_Co_9,0.0041
TRA_Co_1,TRA_Co_10,0.0262
TRA_Co_1,TRA_Co_11,0.0203
TRA_Co_1,TRA_Co_12,0.0045
TRA_Co_1,TRA_Co_13,0.0086
TRA_Co_1,TRA_Co_14,0.0021
TRA_Co_1,TRA_Co_15,0.0153
TRA_Co_1,TRA_Co_16,0.0029
TRA_Co_1,TRA_Co_17,0.0209
TRA_Co_1,TRA_Co_18,0.0098
TRA_Co_1,TRA_Co_19,0.0016
TRA_Co_1,INF_Co_2,0.0093
TRA_Co_1,INF_Co_3,0.0016
TRA_Co_1,INF_Co_4,0.0032
TRA_Co_1,INF_Co_5,0.0074
TRA_Co_1,INF_Co_6,0.0048
TRA_Co_1,INF_Co_10,0.0044
TRA_Co_1,INF_Co_11,0.0073
TRA_Co_1,INF_Co_12,0.0114
TRA_Co_1,INF_Co_14,0.0043
TRA_Co_1,INF_Co_15,0.0012
TRA_Co_1,INF_Co_16,0.0018
TRA_Co_1,HEA_Co_2,0.0033
TRA_Co_1,HEA_Co_7,0.0023
TRA_Co_1,HEA_Co_10,0.0015
TRA_Co_1,HEA_Co_12,0.0026
TRA_Co_1,HEA_Co_19,0.0051
TRA_Co_1,CON_Co_7,0.0015
TRA_Co_1,CON_Co_13,0.0012
TRA_Co_1,AGR_Co_1,0.0044
TRA_Co_1,AGR_Co_2,0.0064
TRA_Co_1,AGR_Co_4,0.0025
TRA_Co_1,AGR_Co_5,0.0058
TRA_Co_1,AGR_Co_7,0.0083
TRA_Co_1,AGR_Co_8,0.016
TRA_Co_1,AGR_Co_12,0.0039
TRA_Co_1,AGR_Co_13,0.0155
TRA_Co_1,AGR_Co_15,0.0048
TRA_Co_1,AGR_Co_17,0.0042
TRA_Co_1,AGR_Co_18,0.0028
TRA_Co_1,AGR_Co_20,0.0065
TRA_Co_1,TEL_Co_1,0.0056
TRA_Co_1,TEL_Co_2,0.0014
TRA_Co_1,TEL_Co_4,0.01
TRA_Co_1,TEL_Co_5,0.0041
TRA_Co_1,TEL_Co_11,0.0056
TRA_Co_1,TEL_Co_12,0.0049
TRA_Co_1,TEL_Co_14,0.0091
TRA_Co_1,TEL_Co_15,0.0018
TRA_Co_1,TEL_Co_16,0.0051
TRA_Co_1,TEL_Co_17,0.0027
TRA_Co_1,TEL_Co_19,0.0031
TRA_Co_1,TEL_Co_20,0.0094
TRA_Co_1,MED_Co_2,0.0062
TRA_Co_1,MED_Co_3,0.0012
TRA_Co_1,MED_Co_6,0.0041
TRA_Co_1,MED_Co_8,0.0077
TRA_Co_1,MED_Co_9,0.0069
TRA_Co_1,MED_Co_11,0.0088
TRA_Co_1,MED_Co_14,0.002
TRA_Co_1,MED_Co_17,0.0077
TRA_Co_1,MED_Co_20,0.0059
TRA_Co_1,GOV_Co_3,0.0021
TRA_Co_1,GOV_Co_5,0.0017
TRA_Co_1,GOV_Co_12,0.0023
TRA_Co_1,GOV_Co_16,0.0019
TRA_Co_1,GOV_Co_17,0.0063
TRA_Co_2,TRA_Co_7,0.0035
TRA_Co_2,TRA_Co_9,0.0395
TRA_Co_2,TRA_Co_10,0.0041
TRA_Co_2,TRA_Co_11,0.0103
TRA_Co_2,TRA_Co_13,0.0249
TRA_Co_2,TRA_Co_14,0.0025
TRA_Co_2,TRA_Co_15,0.0255
TRA_Co_2,TRA_Co_16,0.0048
TRA_Co_2,TRA_Co_17,0.0021
TRA_Co_2,TRA_Co_18,0.0017
TRA_Co_2,MAN_Co_1,0.0017
TRA_Co_2,MAN_Co_11,0.0021
TRA_Co_2,MAN_Co_20,0.0011
TRA_Co_2,INF_Co_1,0.0181
TRA_Co_2,INF_Co_3,0.0028
TRA_Co_2,INF_Co_4,0.0026
TRA_Co_2,INF_Co_5,0.0056
TRA_Co_2,INF_Co_6,0.0151
TRA_Co_2,INF_Co_9,0.0035
TRA_Co_2,INF_Co_15,0.0023
TRA_Co_2,INF_Co_18,0.0047
TRA_Co_2,INF_Co_19,0.0046
TRA_Co_2,HEA_Co_1,0.0047
TRA_Co_2,HEA_Co_2,0.0152
TRA_Co_2,HEA_Co_3,0.008
TRA_Co_2,HEA_Co_4,0.0032
TRA_Co_2,HEA_Co_5,0.004
TRA_Co_2,HEA_Co_6,0.0159
TRA_Co_2,HEA_Co_8,0.0019
TRA_Co_2,HEA_Co_9,0.0037
TRA_Co_2,HEA_Co_10,0.0142
TRA_Co_2,HEA_Co_11,0.0097
TRA_Co_2,HEA_Co_15,0.0066
TRA_Co_2,HEA_Co_16,0.0022
TRA_Co_2,HEA_Co_19,0.0047
TRA_Co_2,HEA_Co_20,0.005
TRA_Co_2,CON_Co_1,0.0017
TRA_Co_2,CON_Co_10,0.0018
TRA_Co_2,CON_Co_13,0.0017
TRA_Co_2,CON_Co_14,0.0021
TRA_Co_2,AGR_Co_1,0.0176
TRA_Co_2,AGR_Co_3,0.0029
TRA_Co_2,AGR_Co_4,0.0041
TRA_Co_2,AGR_Co_5,0.0015
